state_id,suite,task_id,initial_state_index,condition,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_spatial_task03_state006_wait30,libero_spatial,3,6,future_recipient_cache_donor,12,12,0,0,1.0,0.5705490520726385,0.7725504375985587,0.9028822076183699,0.2198363621058396,0.3596490396074621,0.26273196234683766
libero_spatial_task03_state006_wait30,libero_spatial,3,6,future_donor_cache_donor,12,12,0,0,1.0,0.5705490520726385,0.7725504375985587,0.9028822076183699,0.2198363621058396,0.3596490396074621,0.26273196234683766
libero_spatial_task04_state004_wait30,libero_spatial,4,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7563013164059099
libero_spatial_task04_state004_wait30,libero_spatial,4,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7563013164059099
libero_spatial_task04_state004_wait30,libero_spatial,4,4,future_recipient_cache_donor,12,12,0,0,1.0,0.6644812779799563,0.8950036676266512,0.941389722688044,0.23323114892376726,0.314019482461211,0.2474317970832051
libero_spatial_task04_state004_wait30,libero_spatial,4,4,future_donor_cache_donor,12,12,0,0,1.0,0.6644812779799563,0.8950036676266512,0.941389722688044,0.23323114892376726,0.314019482461211,0.2474317970832051
libero_spatial_task04_state005_wait30,libero_spatial,4,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867800596816607
libero_spatial_task04_state005_wait30,libero_spatial,4,5,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.8867800596816607
libero_spatial_task04_state005_wait30,libero_spatial,4,5,future_recipient_cache_donor,12,12,0,0,1.0,0.6968287670728784,0.8885971014129673,0.9522898434367669,0.24227372620536133,0.27848099648872066,0.26418164815820266
libero_spatial_task04_state005_wait30,libero_spatial,4,5,future_donor_cache_donor,12,12,0,0,1.0,0.6968287670728784,0.8885971014129673,0.9522898434367669,0.24227372620536133,0.27848099648872066,0.26418164815820266
libero_spatial_task04_state006_wait30,libero_spatial,4,6,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117085311940841
libero_spatial_task04_state006_wait30,libero_spatial,4,6,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.7117085311940841
libero_spatial_task04_state006_wait30,libero_spatial,4,6,future_recipient_cache_donor,12,12,0,0,1.0,0.6707710777021472,0.8792263846381355,0.9442890481457685,0.2159429327785677,0.3041746076551172,0.23364945091563005
libero_spatial_task04_state006_wait30,libero_spatial,4,6,future_donor_cache_donor,12,12,0,0,1.0,0.6707710777021472,0.8792263846381355,0.9442890481457685,0.2159429327785677,0.3041746076551172,0.23364945091563005
libero_spatial_task05_state004_wait30,libero_spatial,5,4,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0324753225934917
libero_spatial_task05_state004_wait30,libero_spatial,5,4,future_donor_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0324753225934917
libero_spatial_task05_state004_wait30,libero_spatial,5,4,future_recipient_cache_donor,12,12,0,0,1.0,0.7949144268230853,0.9213847208215066,0.9718035600289004,0.29218295844681413,0.18633290373048858,0.3114003481131235
libero_spatial_task05_state004_wait30,libero_spatial,5,4,future_donor_cache_donor,12,12,0,0,1.0,0.7949144268230853,0.9213847208215066,0.9718035600289004,0.29218295844681413,0.18633290373048858,0.3114003481131235
libero_spatial_task05_state005_wait30,libero_spatial,5,5,future_recipient_cache_recipient,12,12,0,0,0.0,0.0,0.0,0.0,0.0,0.0,2.088412368880627
