action_donor_steering,action_l2_from_baseline,contrast,direction,gate,initial_state_index,max_abs_from_baseline,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_id,unit_id
0.071066877489653,0.017193710431456566,block27_future_gate0.25,forward,0.25,27,0.0069563910365104675,0.18285312627206757,3,0.194305419921875,0.18285312627206757,3,task03_state27_prefix03
0.0896074463274062,0.028530225157737732,block27_future_gate0.5,forward,0.5,27,0.010576367378234863,0.24335397334814002,3,0.4291890462239585,0.24335397334814002,3,task03_state27_prefix03
0.02334197356999342,0.041304849088191986,block27_future_gate0.75,forward,0.75,27,0.010479509830474854,0.45999605626838797,3,0.47196451822916674,0.45999605626838813,3,task03_state27_prefix03
0.12104182540635147,0.05604610964655876,block27_future_gate1,forward,1.0,27,0.013383984565734863,0.583077921253355,3,0.6567281087239583,0.583077921253355,3,task03_state27_prefix03
0.1884739799437325,0.06863712519407272,block27_current_gate1,forward,1.0,27,0.017440520226955414,0.5507111887685836,3,0.8446553548177085,0.5507111887685836,3,task03_state27_prefix03
0.09541740436894054,0.03845533728599548,block27_random_gate1,forward,1.0,27,0.01221609115600586,0.5657906024302982,3,0.7398885091145833,0.5657906024302982,3,task03_state27_prefix03
0.014723652474834077,0.011947973631322384,block0_future_gate1,forward,1.0,27,0.003919042646884918,0.06994910318274325,3,0.05533854166666674,0.06994910318274325,3,task03_state27_prefix03
0.0,0.0,block27_all_key_control,forward,1.0,27,0.0,0.0,3,0.0,0.0,3,task03_state27_prefix03
0.0,0.0,block0_all_key_control,forward,1.0,27,0.0,0.0,3,0.0,0.0,3,task03_state27_prefix03
0.043225149365013524,0.016770949587225914,block27_future_gate0.25,reverse,0.25,27,0.004856675863265991,0.1955107482644643,3,0.060638427734375,0.19551074826446432,3,task03_state27_prefix03
0.0009158822454240983,0.027234608307480812,block27_future_gate0.5,reverse,0.5,27,0.00553584098815918,0.30708292279386495,3,0.11405436197916674,0.30708292279386495,3,task03_state27_prefix03
0.0003071483370501132,0.0424489863216877,block27_future_gate0.75,reverse,0.75,27,0.008591175079345703,0.4999579137585323,3,0.150909423828125,0.49995791375853244,3,task03_state27_prefix03
0.03417960330701242,0.0548924095928669,block27_future_gate1,reverse,1.0,27,0.012638300657272339,0.596321770590135,3,0.17351277669270804,0.596321770590135,3,task03_state27_prefix03
0.010125377910512429,0.0665760189294815,block27_current_gate1,reverse,1.0,27,0.01547972857952118,0.45526208079024505,3,0.10830688476562478,0.45526208079024505,3,task03_state27_prefix03
0.022625445645969636,0.03322969377040863,block27_random_gate1,reverse,1.0,27,0.00930783897638321,0.4425440412353534,3,0.10182698567708304,0.4425440412353534,3,task03_state27_prefix03
0.05151042746940755,0.012660391628742218,block0_future_gate1,reverse,1.0,27,0.003948420286178589,0.16082806501273728,3,0.20216878255208326,0.16082806501273728,3,task03_state27_prefix03
0.0,0.0,block27_all_key_control,reverse,1.0,27,0.0,0.0,3,0.0,0.0,3,task03_state27_prefix03
0.0,0.0,block0_all_key_control,reverse,1.0,27,0.0,0.0,3,0.0,0.0,3,task03_state27_prefix03
-0.06743215453738102,-0.012591015547513962,block27_future_gate1_minus_block27_current_gate1,forward,1.0,27,-0.0040565356612205505,0.0323667324847714,3,-0.18792724609375022,0.0323667324847714,3,task03_state27_prefix03
0.02562442103741093,0.017590772360563278,block27_future_gate1_minus_block27_random_gate1,forward,1.0,27,0.001167893409729004,0.017287318823056785,3,-0.083160400390625,0.017287318823056785,3,task03_state27_prefix03
0.12104182540635147,0.05604610964655876,block27_future_gate1_minus_block27_all_key_control,forward,1.0,27,0.013383984565734863,0.583077921253355,3,0.6567281087239583,0.583077921253355,3,task03_state27_prefix03
0.1063181729315174,0.04409813601523638,block27_future_gate1_minus_block0_future_gate1,forward,1.0,27,0.009464941918849945,0.5131288180706117,3,0.6013895670572915,0.5131288180706117,3,task03_state27_prefix03
0.02405422539649999,-0.011683609336614609,block27_future_gate1_minus_block27_current_gate1,reverse,1.0,27,-0.0028414279222488403,0.14105968979988998,3,0.06520589192708326,0.14105968979988998,3,task03_state27_prefix03
0.011554157661042782,0.021662715822458267,block27_future_gate1_minus_block27_random_gate1,reverse,1.0,27,0.0033304616808891296,0.15377772935478162,3,0.071685791015625,0.15377772935478162,3,task03_state27_prefix03
0.03417960330701242,0.0548924095928669,block27_future_gate1_minus_block27_all_key_control,reverse,1.0,27,0.012638300657272339,0.596321770590135,3,0.17351277669270804,0.596321770590135,3,task03_state27_prefix03
-0.017330824162395134,0.04223201796412468,block27_future_gate1_minus_block0_future_gate1,reverse,1.0,27,0.00868988037109375,0.43549370557739775,3,-0.028656005859375222,0.43549370557739775,3,task03_state27_prefix03
0.01810295201397625,0.012273953296244144,block27_future_gate0.25,forward,0.25,43,0.0029002130031585693,0.10107522730310291,6,0.05977376302083348,0.04163060217934405,3,task03_state43_prefix06
0.030953879165479467,0.022243544459342957,block27_future_gate0.5,forward,0.5,43,0.0062712132930755615,0.32335139672251784,6,0.07749430338541696,0.22404706415876804,3,task03_state43_prefix06
0.06349124583672627,0.03298221528530121,block27_future_gate0.75,forward,0.75,43,0.009280234575271606,0.45245885485029036,6,0.08258056640625,0.27660113007650705,3,task03_state43_prefix06
0.09953638074654023,0.03988945484161377,block27_future_gate1,forward,1.0,43,0.010174781084060669,0.6487445763836488,6,0.09577433268229196,0.45480521390918943,3,task03_state43_prefix06
0.05414829278487007,0.051973458379507065,block27_current_gate1,forward,1.0,43,0.011864155530929565,0.7630091830002822,6,0.12833658854166674,0.7106002999709814,3,task03_state43_prefix06
0.0034242681240750235,0.052688516676425934,block27_random_gate1,forward,1.0,43,0.011648207902908325,0.508272245384797,6,0.321533203125,0.7137829957646252,3,task03_state43_prefix06
