action_donor_steering,contrast,direction,future_noise_seed,initial_state_index,physical_endpoint_donor_steering,prefix_chunks,primary_pixel_donor_preference,proprio_endpoint_donor_steering,task_id,unit_id
-0.030412922950673937,semantic_wrist_donor_minus_recipient,reverse,419,27,0.002102421040152569,3,0.003173828125,0.002102421040152569,0,task00_state27_prefix03
0.04231907387977427,semantic_primary_donor_minus_recipient,reverse,419,27,0.10449953529408267,3,-0.02031453450520837,0.10449953529408267,0,task00_state27_prefix03
-0.06412533168162524,semantic_proprio_donor_minus_recipient,reverse,419,27,-0.10014639449684641,3,-0.07663981119791663,-0.10014639449684641,0,task00_state27_prefix03
-0.006818628909132346,semantic_all_donor_minus_gaussian,reverse,419,27,0.10394459715920157,3,0.043802897135416685,0.10394459715920157,0,task00_state27_prefix03
0.01846830915704606,semantic_all_donor_minus_natural_control,reverse,419,27,0.0878184369508801,3,0.057963053385416685,0.0878184369508801,0,task00_state27_prefix03
0.08960454559725547,semantic_all_donor_minus_shuffled,reverse,419,27,0.16900968922150805,3,0.18778483072916669,0.16900968922150805,0,task00_state27_prefix03
0.04350181760344818,semantic_all_donor_minus_recipient,forward,401,43,0.10726083076738868,6,0.03476969401041667,0.10976955182005849,0,task00_state43_prefix06
0.038082327888797035,semantic_wrist_donor_minus_recipient,forward,401,43,0.12513451368166711,6,0.02213541666666667,0.14960049823896798,0,task00_state43_prefix06
-0.022309461772040302,semantic_primary_donor_minus_recipient,forward,401,43,-0.046258488642794665,6,-0.02071126302083326,-0.03938262646323036,0,task00_state43_prefix06
0.019320422136369565,semantic_proprio_donor_minus_recipient,forward,401,43,0.004746995298301346,6,-0.0291748046875,0.010385892755464338,0,task00_state43_prefix06
0.07902560770212319,semantic_all_donor_minus_gaussian,forward,401,43,0.1991467841605966,6,0.043752034505208356,0.21556844594012603,0,task00_state43_prefix06
0.0625313343148165,semantic_all_donor_minus_natural_control,forward,401,43,0.2008548433916951,6,0.06969197591145836,0.2436949509118677,0,task00_state43_prefix06
0.06706860139828139,semantic_all_donor_minus_shuffled,forward,401,43,0.25202268052949595,6,0.049611409505208356,0.2940251783355027,0,task00_state43_prefix06
-0.05667829818774894,semantic_all_donor_minus_recipient,forward,409,43,-0.05673187807685043,6,0.017181396484375028,-0.062266486547644884,0,task00_state43_prefix06
0.005638683580533543,semantic_wrist_donor_minus_recipient,forward,409,43,0.01617654526816048,6,0.08753458658854169,0.004541737579972671,0,task00_state43_prefix06
-0.012980174550469861,semantic_primary_donor_minus_recipient,forward,409,43,-0.012386992063824459,6,0.01639811197916663,-0.01912042867960534,0,task00_state43_prefix06
