suite,task_id,condition,n_tasks,n_states,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_goal,4,wrong_latent,,3,36,36,0,0,0.027777777777777776,-0.40075750170974,0.44419493319564934,0.3997979780863228,1.0232561598566146,1.1500443159259346,1.4310758356902973
libero_goal,4,shuffled_cache,,3,36,36,0,0,0.27777777777777773,-11.29367115390096,0.45255028808719855,0.05976996686753353,11.338108087363556,12.247891919245317,11.399125274463477
libero_goal,4,donor_latent,,3,36,36,0,0,0.9722222222222222,0.7171304434268323,0.8705151087686765,0.9438753626794304,0.2583484354426966,0.24416468394245353,0.2940714567497889
libero_goal,4,donor_cache,,3,36,36,0,0,0.9722222222222222,0.7171304434268323,0.8705151087686765,0.9438753626794304,0.2583484354426966,0.24416468394245353,0.2940714567497889
libero_goal,5,first_frame,,3,36,36,0,0,0.2222222222222222,-0.21797046053010907,0.3451244973251102,0.3025656220978211,0.6057345336879995,0.9925469153299363,0.7475382162087959
libero_goal,5,wrong_latent,,3,36,36,0,0,0.0,-0.02675979637421573,0.4107085418488676,0.438047896187126,0.4718329568999579,0.7970882482734938,0.6177158824219863
libero_goal,5,shuffled_cache,,3,36,36,0,0,0.19444444444444442,-5.86977776045599,0.40230387718432675,0.063595141565685,4.117539648399096,6.824171720610561,4.146076028526389
libero_goal,5,donor_latent,,3,36,36,0,0,1.0,0.6335298834094386,0.8178055792316655,0.9293394096719608,0.19004953840070116,0.31623877620052876,0.22071548749732625
libero_goal,5,donor_cache,,3,36,36,0,0,1.0,0.6335298834094386,0.8178055792316655,0.9293394096719608,0.19004953840070116,0.31623877620052876,0.22071548749732625
libero_goal,6,first_frame,,3,36,36,0,0,0.19444444444444445,-0.8596382099087211,0.3436948392467745,0.18893216101179053,0.8854048982048717,1.6870982767836724,0.981553986302168
libero_goal,6,wrong_latent,,3,36,36,0,0,0.0,0.025410663572208624,0.40472465468853397,0.45569204762455234,0.3898531980321865,0.7452731190471575,0.5167462543003472
libero_goal,6,shuffled_cache,,3,36,36,0,0,0.25,-21.995121071459252,0.35660611707983786,0.01656972637891233,12.027978956704084,22.953472450963105,12.048802430617018
libero_goal,6,donor_latent,,3,36,36,0,0,1.0,0.5459799354677529,0.8032887447296838,0.8941282995229858,0.21009231108892856,0.39983222410595615,0.24001534228218316
libero_goal,6,donor_cache,,3,36,36,0,0,1.0,0.5459799354677529,0.8032887447296838,0.8941282995229858,0.21009231108892856,0.39983222410595615,0.24001534228218316
libero_goal,7,first_frame,,3,36,36,0,0,0.16666666666666666,-0.660763048748859,0.31519840243689373,0.2149418105495001,0.8931566655240806,1.468624818234125,1.0132877158578806
