held_out_suite,held_out_task_id,condition,remaining_states,remaining_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_goal,4,wrong_latent,117,1404,1404,0,0,0.0,-0.046380401077591525,0.4355053838813802,0.45773438234612523,0.590391921620172,0.8368326745736184,0.7589145515899777
libero_goal,4,shuffled_cache,117,1404,1404,0,0,0.23504273504273504,-15.777297542355079,0.4105159571889585,0.03159319477022623,10.811656640775242,16.73216972840344,10.847130235683512
libero_goal,4,donor_latent,117,1404,1404,0,0,1.0,0.6819573405956268,0.8689535753037451,0.9433053096340581,0.19262415584724263,0.2849176461989518,0.21298128218053386
libero_goal,4,donor_cache,117,1404,1404,0,0,1.0,0.6819573405956268,0.8689535753037451,0.9433053096340581,0.19262415584724263,0.2849176461989518,0.21298128218053386
libero_goal,5,first_frame,117,1404,1404,0,0,0.19373219373219375,-0.4397086579923126,0.3792349626108794,0.3026302328317863,0.855939663704232,1.2375401014216223,1.024384354235947
libero_goal,5,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.05597008582978445,0.43636400930052854,0.4567536152153354,0.6045309781062401,0.8458828301544502,0.7797699350071138
libero_goal,5,shuffled_cache,117,1404,1404,0,0,0.23717948717948717,-15.91637173193059,0.4118043266992885,0.03149511336770952,10.99679942126151,16.871239477086384,11.033105857374206
libero_goal,5,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6841009446986369,0.8703051017021299,0.9436780263778394,0.19437540961755023,0.28306959255130887,0.21486220446905852
libero_goal,5,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6841009446986369,0.8703051017021299,0.9436780263778394,0.19437540961755023,0.28306959255130887,0.21486220446905852
libero_goal,6,first_frame,117,1404,1404,0,0,0.19444444444444445,-0.4232556387774764,0.3792716205103239,0.3055439113211716,0.84876862871662,1.2197310921535778,1.0183839498745784
libero_goal,6,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.057307789930974816,0.4365174423046396,0.45630120107591415,0.6066330232054137,0.8472114232115358,0.7823588998307456
libero_goal,6,shuffled_cache,117,1404,1404,0,0,0.23575498575498574,-15.502901390622814,0.41297606413786514,0.032700893244293434,10.793967644125487,16.4576676634876,10.83047184706419
libero_goal,6,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6863458151586802,0.8706773282278217,0.9445808753560182,0.1938614923691341,0.2809261708101441,0.21436733639765196
libero_goal,6,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6863458151586802,0.8706773282278217,0.9445808753560182,0.1938614923691341,0.2809261708101441,0.21436733639765196
libero_goal,7,first_frame,117,1404,1404,0,0,0.19515669515669515,-0.4283550018841395,0.380002298377244,0.30487699723046113,0.8485698654520248,1.2253329757061304,1.0175702645013551
libero_goal,7,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.05814863562545046,0.43621767145261897,0.45545346409190596,0.6051381083639331,0.8477373931531462,0.7806497015500008
libero_goal,7,shuffled_cache,117,1404,1404,0,0,0.23646723646723644,-15.596688875587146,0.411575258204635,0.032478121688236654,10.799228398120798,16.551535759798643,10.835529465977746
libero_goal,7,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6833678960778321,0.8700569979329323,0.9432895213848755,0.19470978848733306,0.2838566061237169,0.21517194720459995
libero_goal,7,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6833678960778321,0.8700569979329323,0.9432895213848755,0.19470978848733306,0.2838566061237169,0.21517194720459995
libero_goal,8,first_frame,117,1404,1404,0,0,0.19444444444444445,-0.43943868182267287,0.37937985134516095,0.3022013669918295,0.8556437512856421,1.2369685221114275,1.0241934762603733
libero_goal,8,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.0568221416479113,0.4364243586777636,0.4563054095163223,0.6045838814524785,0.8466266989695765,0.779858647715058
libero_goal,8,shuffled_cache,117,1404,1404,0,0,0.23646723646723644,-15.601793874033671,0.41480210579874344,0.03281409001461685,10.80380823436855,16.557431053527008,10.83965884587743
libero_goal,8,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6844770614388896,0.8704360656857978,0.9438031592072533,0.19408125252046896,0.2827969204960288,0.21451308826826546
libero_goal,8,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6844770614388896,0.8704360656857978,0.9438031592072533,0.19408125252046896,0.2827969204960288,0.21451308826826546
libero_goal,9,first_frame,117,1404,1404,0,0,0.19444444444444445,-0.43239238419808496,0.3785023626738905,0.3032216571476605,0.8491124476764634,1.2313784373618755,1.0155777074620758
libero_goal,9,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.05495007304409442,0.4356304681869527,0.4566928338053855,0.6023246688228259,0.8456573264854379,0.7755437392828267
libero_goal,9,shuffled_cache,117,1404,1404,0,0,0.23646723646723644,-15.72591429818025,0.41150059109963827,0.032253578289523396,10.836784910492854,16.68035867919698,10.873283340523153
libero_goal,9,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6832930749369992,0.8687765817158785,0.9434543986884059,0.19353345818921228,0.2832834197553844,0.21431006202278952
libero_goal,9,donor_cache,117,1404,1404,0,0,0.9992877492877492,0.6832930749369992,0.8687765817158785,0.9434543986884059,0.19353345818921228,0.2832834197553844,0.21431006202278952
libero_object,0,first_frame,117,1404,1404,0,0,0.19230769230769232,-0.4439984256764576,0.37582425673561803,0.2986382609265545,0.8534206709486898,1.2403832886580741,1.0218530069601317
libero_object,0,wrong_latent,117,1404,1404,0,0,0.0007122507122507122,-0.055922680443873975,0.43468117037153603,0.45554032063890915,0.5991139280611181,0.8441174313012502,0.7745942113854507
libero_object,0,shuffled_cache,117,1404,1404,0,0,0.2357549857549857,-15.804314412412028,0.4111492049562797,0.03235977413366097,10.87380985809538,16.760749557158448,10.908688099141912
libero_object,0,donor_latent,117,1404,1404,0,0,0.9992877492877492,0.6810143761596963,0.866872658933602,0.9426682320271803,0.19435626166435488,0.28504573933447713,0.2154877543683192
