manifest_id,state_id,suite,task_id,initial_state_index,condition,run_id,recipient_id,donor_id,source_id,action_seed,shuffle_seed,array_finite,replay_max_abs_error,axis_degenerate,correct_donor_retrieval,nearest_branch_id,nearest_source_id,correct_source_retrieval,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_recipient,distance_to_donor,native_recipient_to_donor_distance
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,first_frame,run-4aca4384d133fe90073a,b01,b02,b02,2017,,true,,false,false,b03,b03,false,-0.17701829044894146,0.34663073513231374,0.33375679068546427,0.6813016622478173,0.9790202550395001,0.7227443894235343,0.8190887917294357,0.6959014981976335
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_latent,run-eb1617e336c5897f6b74,b01,b02,b02,2017,,true,,false,true,b02,b02,true,0.5129274403117126,0.6710536277067025,0.8816330698341613,0.2499768485865645,0.35921297659797824,0.5296843333926816,0.3389545240180355,0.6959014981976335
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_cache,run-4eadd272e6eea00912ad,b01,b02,b02,2017,,true,,false,true,b02,b02,true,0.5129274403117126,0.6710536277067025,0.8816330698341613,0.2499768485865645,0.35921297659797824,0.5296843333926816,0.3389545240180355,0.6959014981976335
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,wrong_latent,run-3b176e9b12de4f21220b,b01,b02,b00,2017,,true,,false,false,b00,b00,true,0.1302189348017414,0.3224423665040418,0.5089338547947387,0.3795278308414368,0.5453757921550735,0.4408984071673764,0.6052819463754017,0.6959014981976335
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,shuffled_cache,run-aeff5f1b99f821d609af,b01,b02,b02,2017,2156014988,true,,false,false,b01,b01,false,-17.03985101475822,-0.5685063502772608,-0.03161789822520101,12.50641701247986,17.971533392112462,12.512672982718456,12.553959348432345,0.6959014981976335
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,first_frame,run-8bcc839a9b9d1ec9aa06,b01,b03,b03,2017,,true,,false,true,b03,b03,true,0.11840831190611034,0.5845826849142285,0.6009185792400247,0.5776969919815134,0.7775810947053452,0.7227443894235343,0.6549707417471806,0.7429411490520157
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_latent,run-9ddd137ec60f169e7858,b01,b03,b03,2017,,true,,false,true,b03,b03,true,0.5934495996996193,0.9411566257032371,0.9195278531867835,0.2988625042170584,0.4022694187802136,0.7604163185645748,0.3020430215467218,0.7429411490520157
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,donor_cache,run-183028f26e3d72a947f8,b01,b03,b03,2017,,true,,false,true,b03,b03,true,0.5934495996996193,0.9411566257032371,0.9195278531867835,0.2988625042170584,0.4022694187802136,0.7604163185645748,0.3020430215467218,0.7429411490520157
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,wrong_latent,run-2933a573457659d17600,b01,b03,b00,2017,,true,,false,false,b00,b00,true,-0.08781425248674135,0.08442151312487951,0.14225548322722245,0.43641445891714514,0.5874145744572163,0.4408984071673764,0.8081819706976591,0.7429411490520157
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,shuffled_cache,run-9cb55e143dc62772b8b4,b01,b03,b03,2017,152234991,true,,false,false,b01,b01,false,-15.894543432569701,-0.3991849528823196,-0.02370283002821891,12.508531899613127,16.83650436588937,12.512047178568503,12.55165151050252,0.7429411490520157
fastwam-813f0233b9a2c083,libero_spatial_task00_state004_wait30,libero_spatial,0,4,native,run-e0caa4a9ef1f26741528,b02,,b02,3019,,true,,,,,b02,true,,,,,,,,
