state_id,suite,task_id,initial_state_index,modality,n_rows,n_valid,n_missing,correct_source_retrieval_rate
libero_goal_task06_state006_wait30,libero_goal,6,6,latent,16,16,0,1.0
libero_goal_task06_state006_wait30,libero_goal,6,6,cache,16,16,0,1.0
libero_goal_task07_state004_wait30,libero_goal,7,4,latent,16,16,0,1.0
libero_goal_task07_state004_wait30,libero_goal,7,4,cache,16,16,0,1.0
libero_goal_task07_state005_wait30,libero_goal,7,5,latent,16,16,0,1.0
libero_goal_task07_state005_wait30,libero_goal,7,5,cache,16,16,0,1.0
libero_goal_task07_state006_wait30,libero_goal,7,6,latent,16,16,0,1.0
libero_goal_task07_state006_wait30,libero_goal,7,6,cache,16,16,0,1.0
libero_goal_task08_state004_wait30,libero_goal,8,4,latent,16,16,0,1.0
libero_goal_task08_state004_wait30,libero_goal,8,4,cache,16,16,0,1.0
libero_goal_task08_state005_wait30,libero_goal,8,5,latent,16,16,0,1.0
libero_goal_task08_state005_wait30,libero_goal,8,5,cache,16,16,0,1.0
libero_goal_task08_state006_wait30,libero_goal,8,6,latent,16,16,0,1.0
libero_goal_task08_state006_wait30,libero_goal,8,6,cache,16,16,0,1.0
libero_goal_task09_state004_wait30,libero_goal,9,4,latent,16,16,0,1.0
libero_goal_task09_state004_wait30,libero_goal,9,4,cache,16,16,0,1.0
libero_goal_task09_state005_wait30,libero_goal,9,5,latent,16,16,0,1.0
libero_goal_task09_state005_wait30,libero_goal,9,5,cache,16,16,0,1.0
libero_goal_task09_state006_wait30,libero_goal,9,6,latent,16,16,0,1.0
libero_goal_task09_state006_wait30,libero_goal,9,6,cache,16,16,0,1.0
libero_10_task00_state004_wait30,libero_10,0,4,latent,16,16,0,1.0
libero_10_task00_state004_wait30,libero_10,0,4,cache,16,16,0,1.0
libero_10_task00_state005_wait30,libero_10,0,5,latent,16,16,0,1.0
libero_10_task00_state005_wait30,libero_10,0,5,cache,16,16,0,1.0
libero_10_task00_state006_wait30,libero_10,0,6,latent,16,16,0,1.0
libero_10_task00_state006_wait30,libero_10,0,6,cache,16,16,0,1.0
libero_10_task01_state004_wait30,libero_10,1,4,latent,16,16,0,1.0
libero_10_task01_state004_wait30,libero_10,1,4,cache,16,16,0,1.0
libero_10_task01_state005_wait30,libero_10,1,5,latent,16,16,0,1.0
libero_10_task01_state005_wait30,libero_10,1,5,cache,16,16,0,1.0
libero_10_task01_state006_wait30,libero_10,1,6,latent,16,16,0,1.0
libero_10_task01_state006_wait30,libero_10,1,6,cache,16,16,0,1.0
libero_10_task02_state004_wait30,libero_10,2,4,latent,16,16,0,1.0
libero_10_task02_state004_wait30,libero_10,2,4,cache,16,16,0,1.0
libero_10_task02_state005_wait30,libero_10,2,5,latent,16,16,0,1.0
libero_10_task02_state005_wait30,libero_10,2,5,cache,16,16,0,1.0
libero_10_task02_state006_wait30,libero_10,2,6,latent,16,16,0,1.0
libero_10_task02_state006_wait30,libero_10,2,6,cache,16,16,0,1.0
libero_10_task03_state004_wait30,libero_10,3,4,latent,16,16,0,1.0
libero_10_task03_state004_wait30,libero_10,3,4,cache,16,16,0,1.0
libero_10_task03_state005_wait30,libero_10,3,5,latent,16,16,0,1.0
libero_10_task03_state005_wait30,libero_10,3,5,cache,16,16,0,1.0
libero_10_task03_state006_wait30,libero_10,3,6,latent,16,16,0,1.0
libero_10_task03_state006_wait30,libero_10,3,6,cache,16,16,0,1.0
libero_10_task04_state004_wait30,libero_10,4,4,latent,16,16,0,1.0
libero_10_task04_state004_wait30,libero_10,4,4,cache,16,16,0,1.0
libero_10_task04_state005_wait30,libero_10,4,5,latent,16,16,0,1.0
libero_10_task04_state005_wait30,libero_10,4,5,cache,16,16,0,1.0
libero_10_task04_state006_wait30,libero_10,4,6,latent,16,16,0,1.0
libero_10_task04_state006_wait30,libero_10,4,6,cache,16,16,0,1.0
libero_10_task05_state004_wait30,libero_10,5,4,latent,16,16,0,1.0
libero_10_task05_state004_wait30,libero_10,5,4,cache,16,16,0,1.0
libero_10_task05_state005_wait30,libero_10,5,5,latent,16,16,0,1.0
libero_10_task05_state005_wait30,libero_10,5,5,cache,16,16,0,1.0
libero_10_task05_state006_wait30,libero_10,5,6,latent,16,16,0,1.0
libero_10_task05_state006_wait30,libero_10,5,6,cache,16,16,0,1.0
libero_10_task06_state004_wait30,libero_10,6,4,latent,16,16,0,1.0
libero_10_task06_state004_wait30,libero_10,6,4,cache,16,16,0,1.0
libero_10_task06_state005_wait30,libero_10,6,5,latent,16,16,0,1.0
libero_10_task06_state005_wait30,libero_10,6,5,cache,16,16,0,1.0
libero_10_task06_state006_wait30,libero_10,6,6,latent,16,16,0,1.0
libero_10_task06_state006_wait30,libero_10,6,6,cache,16,16,0,1.0
libero_10_task07_state004_wait30,libero_10,7,4,latent,16,16,0,1.0
libero_10_task07_state004_wait30,libero_10,7,4,cache,16,16,0,1.0
libero_10_task07_state005_wait30,libero_10,7,5,latent,16,16,0,1.0
libero_10_task07_state005_wait30,libero_10,7,5,cache,16,16,0,1.0
libero_10_task07_state006_wait30,libero_10,7,6,latent,16,16,0,1.0
libero_10_task07_state006_wait30,libero_10,7,6,cache,16,16,0,1.0
libero_10_task08_state004_wait30,libero_10,8,4,latent,16,16,0,1.0
libero_10_task08_state004_wait30,libero_10,8,4,cache,16,16,0,1.0
libero_10_task08_state005_wait30,libero_10,8,5,latent,16,16,0,1.0
libero_10_task08_state005_wait30,libero_10,8,5,cache,16,16,0,1.0
libero_10_task08_state006_wait30,libero_10,8,6,latent,16,16,0,1.0
libero_10_task08_state006_wait30,libero_10,8,6,cache,16,16,0,1.0
libero_10_task09_state004_wait30,libero_10,9,4,latent,16,16,0,1.0
libero_10_task09_state004_wait30,libero_10,9,4,cache,16,16,0,1.0
libero_10_task09_state005_wait30,libero_10,9,5,latent,16,16,0,1.0
libero_10_task09_state005_wait30,libero_10,9,5,cache,16,16,0,1.0
libero_10_task09_state006_wait30,libero_10,9,6,latent,16,16,0,1.0
libero_10_task09_state006_wait30,libero_10,9,6,cache,16,16,0,1.0
