bootstrap_mode,kind,label,metric,n_states_total,n_states_valid,n_states_missing,mean,ci95_low,ci95_high,n_suites,n_tasks
state,condition,donor_latent,orthogonal_residual,120,120,0,0.19426726283712895,0.18665945978674187,0.20248330816551668,,
state,condition,donor_latent,orthogonal_residual_ratio,120,120,0,0.28389882214253925,0.2724038345827588,0.29543951216727726,,
state,condition,donor_latent,distance_to_donor,120,120,0,0.2150085365447652,0.20660682644917835,0.2241674853216296,,
state,condition,donor_cache,correct_donor_retrieval_rate,120,120,0,0.9993055555555556,0.9979166666666667,1.0,,
state,condition,donor_cache,donor_distance_reduction,120,120,0,0.6828366681664071,0.668534471415893,0.6970717984439732,,
state,condition,donor_cache,donor_projection,120,120,0,0.8689926136403685,0.8581682784694198,0.8800952237443969,,
state,condition,donor_cache,cosine_alignment,120,120,0,0.9433195609601924,0.9383306284891407,0.9481411751803881,,
state,condition,donor_cache,orthogonal_residual,120,120,0,0.19426726283712895,0.18663407377921615,0.20244727637028992,,
state,condition,donor_cache,orthogonal_residual_ratio,120,120,0,0.28389882214253925,0.2729076263661703,0.29545037072870656,,
state,condition,donor_cache,distance_to_donor,120,120,0,0.2150085365447652,0.20654714610326802,0.22406755750074792,,
state,comparison,donor_latent_minus_wrong_latent,correct_donor_retrieval_rate,120,120,0,0.9986111111111111,0.9958333333333333,1.0,,
state,comparison,donor_latent_minus_wrong_latent,donor_distance_reduction,120,120,0,0.7380764967598024,0.7011907277562309,0.7798293148621874,,
state,comparison,donor_latent_minus_wrong_latent,donor_projection,120,120,0,0.43326999102613134,0.42772910672347597,0.4387706462145481,,
state,comparison,donor_latent_minus_wrong_latent,cosine_alignment,120,120,0,0.4870335887205623,0.479885906196647,0.4942877438847902,,
state,comparison,donor_latent_minus_wrong_latent,orthogonal_residual,120,120,0,-0.4069462647389541,-0.4596694915850225,-0.3586994116195719,,
state,comparison,donor_latent_minus_wrong_latent,orthogonal_residual_ratio,120,120,0,-0.5607641434648869,-0.6004380624190525,-0.5244721804942761,,
state,comparison,donor_latent_minus_wrong_latent,distance_to_donor,120,120,0,-0.5607100471477205,-0.6369033454498717,-0.4949683140249234,,
state,comparison,donor_cache_minus_shuffled_cache,correct_donor_retrieval_rate,120,120,0,0.7631944444444445,0.7534722222222222,0.7729166666666667,,
state,comparison,donor_cache_minus_shuffled_cache,donor_distance_reduction,120,120,0,16.348043550810136,15.302055685571348,17.41445057548831,,
state,comparison,donor_cache_minus_shuffled_cache,donor_projection,120,120,0,0.45742579817895385,0.4473200296381153,0.46783158735216634,,
state,comparison,donor_cache_minus_shuffled_cache,cosine_alignment,120,120,0,0.9110219468875336,0.9066111983154275,0.9153177474687797,,
state,comparison,donor_cache_minus_shuffled_cache,orthogonal_residual,120,120,0,-10.63055066410282,-10.931660632277728,-10.298017237637268,,
