state_id,suite,task_id,initial_state_index,condition,n_rows,valid_axes,degenerate_axes,invalid_rows,correct_donor_retrieval_rate,donor_distance_reduction,donor_projection,cosine_alignment,orthogonal_residual,orthogonal_residual_ratio,distance_to_donor
libero_object_task06_state004_wait30,libero_object,6,4,shuffled_cache,12,12,0,0,0.25,-11.460912582283848,0.3950923064606943,0.06099191585025615,10.992405872511362,12.372664274406722,11.069793053189166
libero_object_task06_state004_wait30,libero_object,6,4,donor_latent,12,12,0,0,1.0,0.7683901433962919,0.9292395121302879,0.9729692401164817,0.19626032546258362,0.21972785952631488,0.2067279235344538
libero_object_task06_state004_wait30,libero_object,6,4,donor_cache,12,12,0,0,1.0,0.7683901433962919,0.9292395121302879,0.9729692401164817,0.19626032546258362,0.21972785952631488,0.2067279235344538
libero_object_task06_state005_wait30,libero_object,6,5,first_frame,12,12,0,0,0.25,-0.09821846131291528,0.495784651617824,0.453631446131785,0.9049207613189182,0.958058051841614,1.0458941375348416
libero_object_task06_state005_wait30,libero_object,6,5,wrong_latent,12,12,0,0,0.0,0.0523265922598282,0.4806125346313272,0.504954226395386,0.6800032963591681,0.7355694549424738,0.8937534336042142
libero_object_task06_state005_wait30,libero_object,6,5,shuffled_cache,12,12,0,0,0.25,-10.629041009084064,0.4743459409782101,0.04438924508818854,10.980714641898006,11.590276164753853,11.016915854749719
libero_object_task06_state005_wait30,libero_object,6,5,donor_latent,12,12,0,0,1.0,0.7812102450063304,0.9616122017531777,0.9751729709959468,0.20455220445839592,0.21490630357171567,0.20806486488960188
libero_object_task06_state005_wait30,libero_object,6,5,donor_cache,12,12,0,0,1.0,0.7812102450063304,0.9616122017531777,0.9751729709959468,0.20455220445839592,0.21490630357171567,0.20806486488960188
libero_object_task06_state006_wait30,libero_object,6,6,first_frame,12,12,0,0,0.25,-0.1011955687975517,0.4816275931534717,0.44317312752553795,0.9571068944752265,0.9447940740479681,1.1261708483318316
libero_object_task06_state006_wait30,libero_object,6,6,wrong_latent,12,12,0,0,0.0,-0.06354723577432346,0.4860774435204549,0.47482615468619027,0.8679237750363691,0.8785011718235706,1.0666281103550876
libero_object_task06_state006_wait30,libero_object,6,6,shuffled_cache,12,12,0,0,0.25,-10.486354805457372,0.47993026895183166,0.04319300818987487,11.639728126832766,11.443037936138177,11.688121463968654
libero_object_task06_state006_wait30,libero_object,6,6,donor_latent,12,12,0,0,1.0,0.8043989116108295,0.9700908774686825,0.9803362080985897,0.19661553362362705,0.19253412412512685,0.19974942387861075
libero_object_task06_state006_wait30,libero_object,6,6,donor_cache,12,12,0,0,1.0,0.8043989116108295,0.9700908774686825,0.9803362080985897,0.19661553362362705,0.19253412412512685,0.19974942387861075
libero_object_task07_state004_wait30,libero_object,7,4,first_frame,12,12,0,0,0.25,-0.45833027450297886,0.3995271494492465,0.2597486378434514,0.9200765467874669,1.2425920096150558,1.0741281789675658
libero_object_task07_state004_wait30,libero_object,7,4,wrong_latent,12,12,0,0,0.0,-0.022097409186481676,0.4520452346070017,0.45601927839968015,0.6081216873654539,0.8380823967671626,0.7466758047558875
libero_object_task07_state004_wait30,libero_object,7,4,shuffled_cache,12,12,0,0,0.25,-12.091014072160071,0.43195159761560603,0.035672324557568226,9.402829986821205,13.028479540241472,9.449757629182516
libero_object_task07_state004_wait30,libero_object,7,4,donor_latent,12,12,0,0,1.0,0.7383806853612002,0.9018855638722614,0.9651641411482631,0.17696967945568587,0.2414127384544135,0.19160196433021168
libero_object_task07_state004_wait30,libero_object,7,4,donor_cache,12,12,0,0,1.0,0.7383806853612002,0.9018855638722614,0.9651641411482631,0.17696967945568587,0.2414127384544135,0.19160196433021168
libero_object_task07_state005_wait30,libero_object,7,5,first_frame,12,12,0,0,0.25,-0.17294497885550184,0.4597540918731664,0.371714269782437,0.8706467206890619,0.9819131377238589,1.0497818316342515
libero_object_task07_state005_wait30,libero_object,7,5,wrong_latent,12,12,0,0,0.0,-0.11910401500196134,0.47092676604333983,0.41143203235774384,0.7925551028728668,0.9242066429694336,0.9744201923957299
libero_object_task07_state005_wait30,libero_object,7,5,shuffled_cache,12,12,0,0,0.25,-9.730934605076605,0.48750202609184573,0.061729297670315826,9.365827049330411,10.686474510175094,9.405204475627686
libero_object_task07_state005_wait30,libero_object,7,5,donor_latent,12,12,0,0,1.0,0.7753260321103816,0.9488401952002364,0.9731033618486351,0.1906034232853947,0.21858006188355186,0.19612736904526365
libero_object_task07_state005_wait30,libero_object,7,5,donor_cache,12,12,0,0,1.0,0.7753260321103816,0.9488401952002364,0.9731033618486351,0.1906034232853947,0.21858006188355186,0.19612736904526365
libero_object_task07_state006_wait30,libero_object,7,6,first_frame,12,12,0,0,0.25,-0.01165262143914736,0.4291220591446152,0.4087365658906052,0.7221364227818867,0.7769423298052258,0.948371582486241
libero_object_task07_state006_wait30,libero_object,7,6,wrong_latent,12,12,0,0,0.0,-0.10150420515560267,0.46433778479101834,0.43475201821602544,0.786355091523857,0.8886683178832899,0.9969237482291714
libero_object_task07_state006_wait30,libero_object,7,6,shuffled_cache,12,12,0,0,0.25,-10.573103981249833,0.4663023610903645,0.05497425401867039,10.460386266838343,11.540998917067876,10.492036750295787
libero_object_task07_state006_wait30,libero_object,7,6,donor_latent,12,12,0,0,1.0,0.7818321021489535,0.9343338180990894,0.9752993838018827,0.18972228810388714,0.2071488417076797,0.20004889181143434
libero_object_task07_state006_wait30,libero_object,7,6,donor_cache,12,12,0,0,1.0,0.7818321021489535,0.9343338180990894,0.9752993838018827,0.18972228810388714,0.2071488417076797,0.20004889181143434
libero_object_task08_state004_wait30,libero_object,8,4,first_frame,12,12,0,0,0.25,-0.3682746810239888,0.425386472374363,0.32148248679602726,0.8739908429464016,1.2030994049702417,0.9994858286796983
libero_object_task08_state004_wait30,libero_object,8,4,wrong_latent,12,12,0,0,0.0,0.04684956405294843,0.4640045177175669,0.5046794673058129,0.5314764649166652,0.7370580925586293,0.6952573338776015
libero_object_task08_state004_wait30,libero_object,8,4,shuffled_cache,12,12,0,0,0.25,-10.23218776757134,0.4423756283067349,0.037200046802997634,8.244635792183717,11.14738591939179,8.30776011573341
libero_object_task08_state004_wait30,libero_object,8,4,donor_latent,12,12,0,0,1.0,0.7399761843207862,0.9337486806309608,0.9640112777284296,0.18366450722214775,0.2502396487623839,0.19018591930152487
libero_object_task08_state004_wait30,libero_object,8,4,donor_cache,12,12,0,0,1.0,0.7399761843207862,0.9337486806309608,0.9640112777284296,0.18366450722214775,0.2502396487623839,0.19018591930152487
libero_object_task08_state005_wait30,libero_object,8,5,first_frame,12,12,0,0,0.25,-0.19520838681925887,0.46019884924766624,0.3889822929803493,0.8006395610716902,1.0511057737154157,0.9113752079763108
libero_object_task08_state005_wait30,libero_object,8,5,wrong_latent,12,12,0,0,0.0,0.01909747496796302,0.46596605318325274,0.4943489633795672,0.6247158830858938,0.8206650566266424,0.7477578612873469
libero_object_task08_state005_wait30,libero_object,8,5,shuffled_cache,12,12,0,0,0.25,-11.850003645865547,0.46547628217257314,0.04911471069285555,9.76328191642015,12.787719682681065,9.810511019513607
libero_object_task08_state005_wait30,libero_object,8,5,donor_latent,12,12,0,0,1.0,0.7370061722654814,0.9262559101083526,0.9639205228017177,0.1915511455413508,0.25207669145055206,0.19984191761741388
libero_object_task08_state005_wait30,libero_object,8,5,donor_cache,12,12,0,0,1.0,0.7370061722654814,0.9262559101083526,0.9639205228017177,0.1915511455413508,0.25207669145055206,0.19984191761741388
libero_object_task08_state006_wait30,libero_object,8,6,first_frame,12,12,0,0,0.25,-0.5923836150420744,0.4107457194801463,0.2367242529284407,1.0459356555629638,1.3908985886530276,1.2026175422449814
libero_object_task08_state006_wait30,libero_object,8,6,wrong_latent,12,12,0,0,0.0,-0.026446972411805058,0.46935816896337074,0.47000194698137115,0.648872571047093,0.8630613496621322,0.7759401870594513
libero_object_task08_state006_wait30,libero_object,8,6,shuffled_cache,12,12,0,0,0.25,-10.935221980884025,0.482560631667164,0.05031921116174023,9.139490114982129,11.862965869461215,9.195657294278911
libero_object_task08_state006_wait30,libero_object,8,6,donor_latent,12,12,0,0,1.0,0.7478258668930629,0.9298106278503865,0.9671424799854856,0.18060070309953646,0.24058755459866998,0.18962440882213313
