correct_source_tie_fraction,correct_source_top1,cosine_alignment,distance_reduction,distance_to_donor_l2,future_source_index,future_source_seed,native_separation_l2,nearest_native_seed,nearest_tie_count,normalized_final_distance,normalized_projection,orthogonal_residual,recipient_index,recipient_seed,separation_quartile,separation_quartile_label,state_id,task_family
1.0,1,0.9977267025351624,0.9323333798783022,0.07009137241790521,3,229,1.0358338024249842,229,1,0.06766662012169783,1.0015556897601665,0.06764873471148056,2,227,2,Q2,droid_episode_007416_frame_000134,take
1.0,1,0.9984718309225723,0.9442138030269855,0.06443291149513111,0,211,1.1549973827091902,211,1,0.05578619697301451,1.0045564827040303,0.055599804298934796,3,229,2,Q2,droid_episode_007416_frame_000134,take
1.0,1,0.9902270281602625,0.8548459615218539,0.1634414342530414,1,223,1.1259861314685267,223,1,0.1451540384781461,0.9407027752644369,0.1324897506419845,3,229,2,Q2,droid_episode_007416_frame_000134,take
1.0,1,0.9948773997585451,0.8976646075263361,0.10600245870864834,2,227,1.0358338024249842,227,1,0.10233539247366386,1.0056234472426495,0.10218076821911232,3,229,2,Q2,droid_episode_007416_frame_000134,take
1.0,1,0.9940878801273536,0.8852618066844571,0.1282795994930283,1,223,1.118020040112058,223,1,0.11473819331554289,0.951341356564456,0.10390952518574745,0,211,2,Q2,droid_episode_010336_frame_000067,take
1.0,1,0.9997923206573767,0.9795158460269026,0.03562266132091464,2,227,1.7390350300871131,227,1,0.020484153973097486,0.9975150879086022,0.020332874265376034,0,211,3,Q3,droid_episode_010336_frame_000067,take
1.0,1,0.9994395403879535,0.9644148211323283,0.05105143251025779,3,229,1.4346262723618606,229,1,0.03558517886767162,0.9868155408658831,0.03305260946407999,0,211,3,Q3,droid_episode_010336_frame_000067,take
1.0,1,0.9989328744841243,0.9504762822242999,0.055368508934086486,0,211,1.118020040112058,211,1,0.049523717775700124,0.9800117806911769,0.04531081229893805,1,223,2,Q2,droid_episode_010336_frame_000067,take
1.0,1,0.9981064527202886,0.9318068145816518,0.05190461771447244,2,227,0.7611408294839217,227,1,0.06819318541834822,1.0256022349216936,0.0632047158407949,1,223,1,Q1 (smallest),droid_episode_010336_frame_000067,take
1.0,1,0.9981354997086951,0.9388702097025502,0.03845775734803588,3,229,0.6291164612360894,229,1,0.06112979029744984,0.9996337675749973,0.06112869322683964,1,223,1,Q1 (smallest),droid_episode_010336_frame_000067,take
