state_id,task,environment_seed,branch_step,recipient_seed,donor_seed,native_action_l2,recipient_future_recipient_kv__donor_projection,recipient_future_recipient_kv__distance_to_recipient,recipient_future_recipient_kv__distance_to_donor,donor_future_recipient_kv__donor_projection,donor_future_recipient_kv__distance_to_recipient,donor_future_recipient_kv__distance_to_donor,donor_future_donor_kv__donor_projection,donor_future_donor_kv__distance_to_recipient,donor_future_donor_kv__distance_to_donor,recipient_future_donor_kv__donor_projection,recipient_future_donor_kv__distance_to_recipient,recipient_future_donor_kv__distance_to_donor,kv_effect_at_recipient_future,kv_effect_at_donor_future,future_effect_at_recipient_kv,future_effect_at_donor_kv,future_by_kv_interaction,donor_future_recipient_kv_closer_to,recipient_future_donor_kv_closer_to,donor_future_recipient_kv_follows_kv,recipient_future_donor_kv_follows_kv,donor_future_recipient_kv_tie,recipient_future_donor_kv_tie,both_crossed_arms_follow_kv,crossed_arm_kv_follow_fraction,crossed_arm_state_class
RubiksCubeTask_seed_103,RubiksCubeTask,103,64,223,233,2.3475608825683594,-0.00469023259842166,0.20159660279750824,2.3671457767486572,0.1195093458375813,0.41670748591423035,2.089843273162842,1.0020284723973978,2.3641366958618164,0.23609904944896698,0.8795555679355889,2.0895912647247314,0.42766568064689636,0.8842458005340105,0.8825191265598165,0.12419957843600296,0.12247290446180892,-0.0017266739741940151,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
RubiksCubeTask_seed_109,RubiksCubeTask,109,64,241,269,2.052579164505005,-0.024769200544025878,0.3081623613834381,2.125265598297119,0.10915047681438786,0.35808470845222473,1.8497529029846191,1.0275578913022752,2.121142864227295,0.2322901338338852,0.9029397727389075,1.8747011423110962,0.3453533947467804,0.9277089732829333,0.9184074144878873,0.13391967735841373,0.12461811856336769,-0.009301558795046017,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
RubiksCubeTask_seed_113,RubiksCubeTask,113,64,229,281,2.5560302734375,-0.0239027663348359,0.20385023951530457,2.624342441558838,0.00929408058689079,0.3441053628921509,2.555436849594116,0.9452253819305643,2.4294633865356445,0.29106494784355164,0.9216258902784238,2.3683040142059326,0.315680593252182,0.9455286566132597,0.9359313013436735,0.03319684692172669,0.02359949165214048,-0.00959735526958616,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SmartphoneInBinTask_seed_101,SmartphoneInBinTask,101,64,223,227,4.558490753173828,0.002932735345413584,0.19612951576709747,4.549332141876221,0.1690106302184453,0.9982375502586365,3.8408708572387695,1.0151024950677823,4.6415605545043945,0.3695812225341797,0.7841324176772163,3.640686511993408,1.202558159828186,0.7811996823318027,0.846091864849337,0.16607789487303173,0.23097007739056596,0.06489218251753426,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SmartphoneInBinTask_seed_103,SmartphoneInBinTask,103,64,211,269,2.1460561752319336,-0.01141820234078736,0.2239503413438797,2.181945323944092,0.2639347170499919,0.6731897592544556,1.6209900379180908,1.0263347753236207,2.2154388427734375,0.24503031373023987,0.7817174796155854,1.7180955410003662,0.5974279642105103,0.7931356819563727,0.7624000582736288,0.27535291939077927,0.24461729570803536,-0.030735623682743962,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SmartphoneInBinTask_seed_107,SmartphoneInBinTask,107,64,239,269,2.505021095275879,-0.029808823864963845,0.2152097076177597,2.5875766277313232,0.1038497312856787,0.38268136978149414,2.2623512744903564,0.9825882740858183,2.4756453037261963,0.2687220871448517,0.8376604214096516,2.121129274368286,0.5113347768783569,0.8674692452746154,0.8787385428001395,0.13365855515064254,0.1449278526761667,0.01126929752552408,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SmartphoneInBinTask_seed_113,SmartphoneInBinTask,113,64,223,227,5.191490650177002,-0.010687860859733011,0.25206947326660156,5.252734661102295,0.13335703022705322,0.994129478931427,4.555381774902344,1.0165145379028666,5.285526752471924,0.3082844316959381,0.8855964382133198,4.6249918937683105,0.7782604098320007,0.8962842990730528,0.8831575076758134,0.14404489108678623,0.13091809968954682,-0.01312679139723949,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SpoonInMugTask_seed_101,SpoonInMugTask,101,128,257,281,2.732734203338623,0.005729181503568198,0.18266990780830383,2.7231664657592773,0.06583012938726304,0.40453633666038513,2.5784237384796143,0.968919472607386,2.6601617336273193,0.2698756456375122,0.8988992184682685,2.4918582439422607,0.501526951789856,0.8931700369647003,0.9030893432201229,0.06010094788369484,0.0700202541391175,0.009919306255422589,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SpoonInMugTask_seed_107,SpoonInMugTask,107,128,241,263,2.9163918495178223,0.007525309567083132,0.18640482425689697,2.900358200073242,0.11850890289981791,0.5054392218589783,2.597093105316162,1.0028094772823042,2.9342730045318604,0.2383817881345749,0.8886531667795654,2.61153507232666,0.4570120573043823,0.8811278572124823,0.8843005743824863,0.11098359333273478,0.11415631050273878,0.0031727171700040024,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SpoonInMugTask_seed_109,SpoonInMugTask,109,128,211,227,3.1492042541503906,-0.03359853573299265,0.23342867195606232,3.2616565227508545,0.16448212857975986,0.6860630512237549,2.6693952083587646,1.0139848661190771,3.204575777053833,0.27281615138053894,0.8941106059015012,2.8504858016967773,0.5550627708435059,0.9277091416344938,0.8495027375393173,0.1980806643127525,0.11987426021757597,-0.07820640409517654,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
SpoonInMugTask_seed_113,SpoonInMugTask,113,128,223,229,2.2230987548828125,0.0027987493730706535,0.18050076067447662,2.2242043018341064,0.2801016469642832,0.740697979927063,1.6499038934707642,0.989296479734901,2.21402907371521,0.25603583455085754,0.7719794928951493,1.742846965789795,0.5909134745597839,0.7691807435220787,0.7091948327706178,0.2773028975912125,0.21731698683975165,-0.05998591075146087,recipient,donor,1,1,0,0,1,1.0,both_follow_kv
