future_noise_seed,goal_endpoint_donor_steering__interaction,goal_endpoint_donor_steering__o1r1_minus_gaussian,goal_endpoint_donor_steering__object_main_effect,goal_endpoint_donor_steering__robot_main_effect,initial_state_index,modality,native_action_similarity__interaction,native_action_similarity__o1r1_minus_gaussian,native_action_similarity__object_main_effect,native_action_similarity__robot_main_effect,prefix_chunks,robot_endpoint_donor_steering__interaction,robot_endpoint_donor_steering__o1r1_minus_gaussian,robot_endpoint_donor_steering__object_main_effect,robot_endpoint_donor_steering__robot_main_effect,task_id,unit_id
1201,,,,,35,wrist,0.001814231386087507,,0.00019869294866875064,-0.003267107215099309,13,,,,,0,task00_state35
1201,,,,,35,primary,0.00012221896138526686,,0.0014672726350848028,0.00012490725126970172,13,,,,,0,task00_state35
1201,,,,,35,proprio,0.0,,0.0,-0.002255600608344307,13,,,,,0,task00_state35
1213,-0.0002998874210143887,0.0008673245530437246,7.150202447808729e-05,0.00067768740958013,35,all,0.0022925591114771257,0.002948106866817988,-0.0006697258963962796,0.001967800481575733,13,-0.00022960338201827302,0.0011114765240272106,9.49536721517874e-05,0.0007844949855590477,0,task00_state35
1213,,,,,35,wrist,-0.0010603446388492248,,0.0004478096335331673,0.002250676397561128,13,,,,,0,task00_state35
1213,,,,,35,primary,0.00024751118680303545,,-0.0008057866369264076,-0.0013250142998070666,13,,,,,0,task00_state35
1213,,,,,35,proprio,0.0,,0.0,-0.00021259094376940846,13,,,,,0,task00_state35
1217,-0.0002571425922860415,0.0006911180372879411,-0.0002505240822019972,0.0008470054860091891,35,all,0.0015232491109089964,0.001664524715961133,-0.00017811620042711054,0.0011019984779403668,13,-5.231680933526217e-05,0.0009274034379321838,-0.00033593340925913706,0.000910266270011062,0,task00_state35
1217,,,,,35,wrist,0.0016675436931317036,,-0.0008597188804934782,-0.00029128407091144875,13,,,,,0,task00_state35
1217,,,,,35,primary,-0.000795529381134601,,-0.0008432158033069423,-0.0016309364659341718,13,,,,,0,task00_state35
1217,,,,,35,proprio,0.0,,0.0,0.0007581153752206889,13,,,,,0,task00_state35
1201,0.00014449134972682742,0.0007341991787550572,3.410506321488427e-05,0.00039364695582888576,17,all,-0.0030077270555690615,-0.0076002683836834915,-0.0005542321989673114,-0.0031649309675393974,11,0.00021201864203546084,0.0006753727241850527,2.7883142768858615e-05,0.0003348413723315846,1,task01_state17
1201,,,,,17,wrist,-0.005906526472209704,,-0.0011019529422292337,-0.004564733927270153,11,,,,,1,task01_state17
1201,,,,,17,primary,0.0025015136383912083,,-0.0005296205741462164,-0.005053615012115462,11,,,,,1,task01_state17
1201,,,,,17,proprio,0.0,,0.0,-0.0005961539592170256,11,,,,,1,task01_state17
1213,-0.0005048928334876468,0.0006693228103304971,8.487697765080515e-05,0.0005656900578749902,17,all,-0.00244850743806164,-0.0035881361211478058,-0.00016800952766932078,-0.005714610455057678,11,-0.0005697522715724102,0.0005570756821264844,0.00010305699124935064,0.0004871524260574578,1,task01_state17
1213,,,,,17,wrist,0.003765857859183517,,0.0014129485199782105,-0.0037354088771179694,11,,,,,1,task01_state17
1213,,,,,17,primary,0.00461803742411084,,0.004814915123243096,-0.001947629643795334,11,,,,,1,task01_state17
1213,,,,,17,proprio,0.0,,0.0,-0.003464253483024888,11,,,,,1,task01_state17
1217,-8.472769932788005e-05,0.000686997759736796,7.26869171326916e-05,0.00011464225071444734,17,all,-0.00012544704543729704,-0.006032042499133618,-0.0009761412759098781,-0.0048772175043431,11,-4.774759201953138e-05,0.0006536824047292944,5.4392741332898176e-05,0.00010574548954378482,1,task01_state17
1217,,,,,17,wrist,-0.002744418103295126,,-0.00024718581751911623,0.0005271849550821462,11,,,,,1,task01_state17
1217,,,,,17,primary,0.004850367946357037,,-0.00219169113879059,-0.0022778197174345297,11,,,,,1,task01_state17
1217,,,,,17,proprio,0.0,,0.0,0.0006432765348959712,11,,,,,1,task01_state17
1201,-0.00011157506193859579,0.001032151877232601,8.66971031270869e-05,0.0003247996211473425,35,all,0.000763652491155389,0.000747523593083976,-0.0006012249249000888,-0.00021001260359772376,5,-8.936858202535092e-05,0.0010088119621576297,8.60730120670894e-05,0.00031457328129580464,1,task01_state35
1201,,,,,35,wrist,0.0002598000955824197,,0.00029788056893449277,0.0005183323699138884,5,,,,,1,task01_state35
1201,,,,,35,primary,-0.0003910841262228307,,0.0009228247068266276,0.0003320986125834851,5,,,,,1,task01_state35
