correct_target_cell,decoded_primary_l1_to_target,decoded_primary_target_margin,decoded_primary_target_top1,decoded_wrist_l1_to_target,decoded_wrist_target_margin,decoded_wrist_target_top1,future_noise_seed,goal_endpoint_donor_steering,initial_state_index,prefix_chunks,robot_endpoint_donor_steering,target_cell,target_coordinate_distance,task_id,unit_id
0.0,13.161511479591837,0.13177614795918302,1.0,9.296223958333334,2.12557132227891,1.0,1213,0.9976265354725403,17,11,0.9955348459696972,o1r0,0.9955376752658696,1,task01_state17
0.0,12.603734853316327,0.5993170705782305,1.0,10.271238573554422,2.863181600765305,1.0,1213,0.9981073485527645,17,11,0.9959189414045053,o0r1,0.9981156918285022,1,task01_state17
1.0,12.56434018920068,0.475566007653061,1.0,10.649825946003402,2.449305112670068,1.0,1213,0.9979397791136715,17,11,0.9957371222599685,o1r1,0.004734621075325944,1,task01_state17
0.0,12.833193824404763,0.42907631802721014,1.0,10.364264455782314,1.3949431335034,1.0,1217,0.9976598903713663,17,11,0.9955403254853333,o0r0,1.4094061857829523,1,task01_state17
0.0,13.161511479591837,0.13177614795918302,1.0,9.296223958333334,2.12557132227891,1.0,1217,0.9977749411381629,17,11,0.995618592022676,o1r0,0.9956210783566981,1,task01_state17
0.0,12.603734853316327,0.5993170705782305,1.0,10.271238573554422,2.863181600765305,1.0,1217,0.9978168964717447,17,11,0.9956699447708869,o0r1,0.9978262916273511,1,task01_state17
1.0,12.56434018920068,0.475566007653061,1.0,10.649825946003402,2.449305112670068,1.0,1217,0.9978472195392134,17,11,0.99570046371621,o1r1,0.004808375605957914,1,task01_state17
0.0,13.86262356505102,0.5612045599489797,1.0,7.213853900935374,3.1314373405612246,1.0,1201,0.9977649820747441,35,5,0.9956629197561051,o0r0,1.4095671708832702,1,task01_state35
0.0,13.892352253401361,0.6426777742346932,1.0,5.871532206632653,4.408209768282313,1.0,1201,0.9979074667088405,35,5,0.9957936770591849,o1r0,0.995795875652549,1,task01_state35
0.0,12.831141050170068,0.4770474596088441,1.0,10.513844600340136,3.7071441857993204,1.0,1201,0.9981455692268607,35,5,0.9960221773284136,o0r1,0.9981534954306479,1,task01_state35
1.0,12.526167889030612,0.7153287096088441,1.0,10.57481000212585,3.960080516581632,1.0,1201,0.9981764787990185,35,5,0.996063566049468,o1r1,0.004338287890093282,1,task01_state35
0.0,13.86262356505102,0.5612045599489797,1.0,7.213853900935374,3.1314373405612246,1.0,1213,0.9979934597069694,35,5,0.9958996844070903,o0r0,1.409896140508239,1,task01_state35
0.0,13.892352253401361,0.6426777742346932,1.0,5.871532206632653,4.408209768282313,1.0,1213,0.9978377568721244,35,5,0.9957624321351487,o1r0,0.9957647797281498,1,task01_state35
0.0,12.831141050170068,0.4770474596088441,1.0,10.513844600340136,3.7071441857993204,1.0,1213,0.9983093301467713,35,5,0.9962060227767114,o0r1,0.9983165394409059,1,task01_state35
1.0,12.526167889030612,0.7153287096088441,1.0,10.57481000212585,3.960080516581632,1.0,1213,0.9983143935524753,35,5,0.9962282828131469,o1r1,0.004131237058501949,1,task01_state35
0.0,13.86262356505102,0.5612045599489797,1.0,7.213853900935374,3.1314373405612246,1.0,1217,0.9976999921876288,35,5,0.9956099671559466,o0r0,1.4094837640467732,1,task01_state35
0.0,13.892352253401361,0.6426777742346932,1.0,5.871532206632653,4.408209768282313,1.0,1217,0.9982047995287677,35,5,0.99612100639545,o1r0,0.9961226240413457,1,task01_state35
0.0,12.831141050170068,0.4770474596088441,1.0,10.513844600340136,3.7071441857993204,1.0,1217,0.9978989836716461,35,5,0.9958066887740625,o0r1,0.9979077940731507,1,task01_state35
1.0,12.526167889030612,0.7153287096088441,1.0,10.57481000212585,3.960080516581632,1.0,1217,0.9979816425566407,35,5,0.9958833514860291,o1r1,0.0045848186176491775,1,task01_state35
0.0,14.035893654336734,0.31429368622448983,1.0,13.373186383928571,5.756184895833334,1.0,1201,0.9984604351277363,17,6,0.9980934320284864,o0r0,1.4117768023217663,2,task02_state17
0.0,14.25590587797619,0.029562606292516946,1.0,14.40815662202381,3.76762462797619,1.0,1201,1.0041151982001588,17,6,0.9957175129370907,o1r0,0.9957260167465003,2,task02_state17
0.0,13.916952327806122,-0.20824032738095255,0.0,12.2638778167517,5.663278592687076,1.0,1201,1.0088757795967442,17,6,0.9987073705003241,o0r1,1.0088766076919229,2,task02_state17
1.0,14.142059948979592,-0.1900310905612237,0.0,13.108478156887756,4.755434204931973,1.0,1201,1.003958576213946,17,6,0.9983697503570668,o1r1,0.004281125966367158,2,task02_state17
0.0,14.035893654336734,0.31429368622448983,1.0,13.373186383928571,5.756184895833334,1.0,1213,1.0085109413108675,17,6,0.9981692079343809,o0r0,1.4189559846634008,2,task02_state17
0.0,14.25590587797619,0.029562606292516946,1.0,14.40815662202381,3.76762462797619,1.0,1213,0.9994046855866542,17,6,0.9988549871353446,o1r0,0.9988551645380827,2,task02_state17
0.0,13.916952327806122,-0.20824032738095255,0.0,12.2638778167517,5.663278592687076,1.0,1213,1.0080368357704945,17,6,1.001970060192199,o0r1,1.0080387608655492,2,task02_state17
1.0,14.142059948979592,-0.1900310905612237,0.0,13.108478156887756,4.755434204931973,1.0,1213,1.00572727918008,17,6,1.001402832671576,o1r1,0.005896580900065628,2,task02_state17
0.0,14.035893654336734,0.31429368622448983,1.0,13.373186383928571,5.756184895833334,1.0,1217,1.0015426589057674,17,6,0.9964245136687303,o0r0,1.4127807717576002,2,task02_state17
0.0,14.25590587797619,0.029562606292516946,1.0,14.40815662202381,3.76762462797619,1.0,1217,1.004832514725785,17,6,0.9963938299605187,o1r0,0.9964055487510927,2,task02_state17
0.0,13.916952327806122,-0.20824032738095255,0.0,12.2638778167517,5.663278592687076,1.0,1217,1.0077199254019884,17,6,0.9995406844647288,o0r1,1.0077200300792626,2,task02_state17
1.0,14.142059948979592,-0.1900310905612237,0.0,13.108478156887756,4.755434204931973,1.0,1217,1.0044021499884255,17,6,0.998842448000573,o1r1,0.004551796475236112,2,task02_state17
0.0,14.574723639455783,0.38639987244897966,1.0,14.059809470663266,5.449849861819727,1.0,1201,0.9980805611004895,35,4,0.9924105412383343,o0r0,1.4074954667094426,2,task02_state35
0.0,14.880919164540817,0.027543048469386378,1.0,13.48126594387755,6.703676392431975,1.0,1201,0.9990423961104558,35,4,0.9933354169600945,o1r0,0.9933358785388224,2,task02_state35
