state_id,task_id,recipient,source,off_diagonal,gaussian_template_prediction,gaussian_source_correct,gaussian_projection,gaussian_distance_reduction,native_template_prediction,native_donor_correct,native_projection,native_distance_reduction
task00_state030,0,1,0,True,0,1,0.6147757584218971,0.1406547586165513,0,1,0.9917122302905889,0.06598521314995509
task00_state030,0,1,1,False,1,1,0.0,0.0,0,0,0.0,0.0
task00_state030,0,1,2,True,0,0,-0.23105006305420778,-0.2255450838542402,0,0,0.19188793925838565,-0.03608236905907194
task00_state030,0,1,3,True,0,0,0.6059932878934932,0.10861054906461504,0,0,-1.7218252888149639,-0.04470925537813313
task00_state030,0,2,0,True,2,0,0.04406970140984556,-0.7326240723428961,2,0,0.13867908458912206,-0.0983747314036981
task00_state030,0,2,1,True,2,0,-0.2552073576010549,-0.2234397405679169,2,0,-1.0044748999967663,-0.14762427733037614
task00_state030,0,2,2,False,2,1,0.0,0.0,2,1,0.0,0.0
task00_state030,0,2,3,True,2,0,0.06502874642845735,-0.6363636665534183,2,0,-0.6661325899098645,-0.26739142633137253
task00_state030,0,3,0,True,3,0,0.3424024094652123,-0.20836889297111313,0,1,1.5438677671330316,0.120602439538118
task00_state030,0,3,1,True,1,1,0.6374957809468482,0.16988310862815492,0,0,0.8687871260681964,0.008668997008082095
task00_state030,0,3,2,True,3,0,0.12126848889641167,-0.5623805164799842,0,0,0.8587181532438234,0.029653407067435685
task00_state030,0,3,3,False,3,1,0.0,0.0,0,0,0.0,0.0
task01_state010,1,0,0,False,0,1,0.0,0.0,0,1,0.0,0.0
task01_state010,1,0,1,True,0,0,0.30175865989525963,-0.24013059238851492,0,0,-3.2103204634310107,-0.041420246475577
task01_state010,1,0,2,True,0,0,-0.13618993763179155,-0.5885778031421379,0,0,-2.3294975498795094,-0.14336925586760682
task01_state010,1,0,3,True,0,0,0.32881560622302963,-0.17184264050914055,0,0,-2.227190064006414,-0.1347303509487523
task01_state010,1,1,0,True,1,0,0.44493442603252126,-0.06740678049971742,0,1,3.2335507808080886,0.03730177771447649
task01_state010,1,1,1,False,1,1,0.0,0.0,0,0,0.0,0.0
task01_state010,1,1,2,True,0,0,-0.28966460214640205,-0.2981266938706622,0,0,-2.576138569399618,-0.13101604830730687
task01_state010,1,1,3,True,0,0,0.4734789634169525,-0.030936128799531146,0,0,-2.3590637621070685,-0.12280867942676622
task01_state010,1,2,0,True,2,0,-0.015994148511355184,-0.6341051916504208,0,1,2.413533495738198,0.198407155241943
task01_state010,1,2,1,True,2,0,-0.2666548684021198,-0.301224707710319,0,0,2.6422058370054544,0.1347649193103868
task01_state010,1,2,2,False,2,1,0.0,0.0,0,0,0.0,0.0
task01_state010,1,2,3,True,2,0,-0.034278914143851834,-0.5405884868162955,0,0,1.073915872969633,0.0036679691664600164
task01_state010,1,3,0,True,3,0,0.45889122067025784,-0.053520303675371105,0,1,2.9103371726461487,0.15399592958770567
task01_state010,1,3,1,True,1,1,0.6126755085248605,0.15178639756880422,0,0,3.199996722692953,0.11961719819642021
task01_state010,1,3,2,True,3,0,0.12134338062951028,-0.4755646799073612,0,0,-3.2783301270099616,-0.014182961926586956
task01_state010,1,3,3,False,3,1,0.0,0.0,0,0,0.0,0.0
task01_state020,1,0,0,False,0,1,0.0,0.0,0,1,0.0,0.0
task01_state020,1,0,1,True,0,0,0.3416689459412585,-0.17878074334300648,0,0,-1.1415159890103759,-0.1962555921842688
task01_state020,1,0,2,True,0,0,-0.16242446017606835,-0.6022436868692943,0,0,-1.2483420652964565,-0.1639387693346451
