action_donor_steering,contrast,direction,future_noise_seed,goal_endpoint_donor_steering,goal_endpoint_projected_l2,initial_state_index,pair_type,prefix_chunks,robot_endpoint_donor_steering,robot_endpoint_projected_l2,task_id,unit_id
0.0003890606329351419,object_all_donor_minus_recipient,forward,1201,-0.37893994581972984,-0.0014651632401470765,17,object,16,,,9,task09_state17
-0.014521180960999441,object_wrist_donor_minus_recipient,forward,1201,,,17,object,16,,,9,task09_state17
0.006928036669303861,object_primary_donor_minus_recipient,forward,1201,,,17,object,16,,,9,task09_state17
-0.013919988167916484,object_proprio_donor_minus_recipient,forward,1201,,,17,object,16,,,9,task09_state17
0.03099289390877221,object_all_donor_minus_gaussian,forward,1201,-0.1326060646122233,-0.0005127185281828945,17,object,16,,,9,task09_state17
-0.004260088116923626,object_all_donor_minus_natural_control,forward,1201,-0.2987352722978253,-0.0011550535759941303,17,object,16,,,9,task09_state17
-0.024698038039647957,object_all_donor_minus_recipient,forward,1213,0.018994453992452025,7.344165233412716e-05,17,object,16,,,9,task09_state17
0.0015553438080138232,object_wrist_donor_minus_recipient,forward,1213,,,17,object,16,,,9,task09_state17
0.0017699944857107464,object_primary_donor_minus_recipient,forward,1213,,,17,object,16,,,9,task09_state17
0.005906543876306666,object_proprio_donor_minus_recipient,forward,1213,,,17,object,16,,,9,task09_state17
-0.022804598539254567,object_all_donor_minus_gaussian,forward,1213,0.1076441223516501,0.0004162037093934697,17,object,16,,,9,task09_state17
-0.0003976006082874791,object_all_donor_minus_natural_control,forward,1213,-0.2725419328043981,-0.0010537775859967092,17,object,16,,,9,task09_state17
0.03103072682616751,object_all_donor_minus_recipient,forward,1217,-0.19991369609184637,-0.0007729620536100713,17,object,16,,,9,task09_state17
-0.007179260836094527,object_wrist_donor_minus_recipient,forward,1217,,,17,object,16,,,9,task09_state17
0.02615619689060856,object_primary_donor_minus_recipient,forward,1217,,,17,object,16,,,9,task09_state17
0.0015692627175495273,object_proprio_donor_minus_recipient,forward,1217,,,17,object,16,,,9,task09_state17
0.03432652871593776,object_all_donor_minus_gaussian,forward,1217,-0.7705781129537199,-0.0029794238829041085,17,object,16,,,9,task09_state17
0.03631367889879977,object_all_donor_minus_natural_control,forward,1217,-0.2884307892971672,-0.0011152115116569302,17,object,16,,,9,task09_state17
0.052941212997432485,object_all_donor_minus_recipient,reverse,1201,0.1928862398686757,0.000745790543602967,17,object,16,,,9,task09_state17
0.022269675894334734,object_all_donor_minus_gaussian,reverse,1201,0.18394411704559277,0.0007112160159138377,17,object,16,,,9,task09_state17
-0.008599134850646853,object_all_donor_minus_recipient,reverse,1213,-0.284006844474213,-0.0010981064230999294,17,object,16,,,9,task09_state17
-0.022398335786516482,object_all_donor_minus_gaussian,reverse,1213,0.07723200171588118,0.0002986158918461359,17,object,16,,,9,task09_state17
0.01746389199953742,object_all_donor_minus_recipient,reverse,1217,-0.195875757370904,-0.0007573494494358315,17,object,16,,,9,task09_state17
0.04132481075793905,object_all_donor_minus_gaussian,reverse,1217,0.1888835090535731,0.0007303140700477555,17,object,16,,,9,task09_state17
-0.0017907773043294903,robot_all_donor_minus_recipient,forward,1201,,,17,robot,16,-0.03745924850952907,-0.00026045852591430774,9,task09_state17
-0.0005529827972832442,robot_wrist_donor_minus_recipient,forward,1201,,,17,robot,16,,,9,task09_state17
-0.00013825488657783007,robot_primary_donor_minus_recipient,forward,1201,,,17,robot,16,,,9,task09_state17
-0.0008072363088436853,robot_proprio_donor_minus_recipient,forward,1201,,,17,robot,16,,,9,task09_state17
-0.001698034144857054,robot_all_donor_minus_gaussian,forward,1201,,,17,robot,16,-0.051529149803531175,-0.00035828819139367186,9,task09_state17
-0.0028041650848917173,robot_all_donor_minus_recipient,forward,1213,,,17,robot,16,0.0009665770084147721,6.720722727001065e-06,9,task09_state17
-0.0013551012638227831,robot_wrist_donor_minus_recipient,forward,1213,,,17,robot,16,,,9,task09_state17
-2.1751522456261443e-05,robot_primary_donor_minus_recipient,forward,1213,,,17,robot,16,,,9,task09_state17
-0.0017114919172726386,robot_proprio_donor_minus_recipient,forward,1213,,,17,robot,16,,,9,task09_state17
