branches,candidate_rank,common_recipients,eligible,initial_state_index,joint_pairs,maximum_action_l2,maximum_object_goal_l2,maximum_robot_gripper_l2,maximum_robot_orientation_angle_rad,maximum_robot_position_l2_m,median_action_l2,median_object_goal_l2,median_robot_gripper_l2,median_robot_orientation_angle_rad,median_robot_position_l2_m,object_pairs,prefix_chunks,robot_pairs,task_id,unit_id
64,3,0,False,17,0,0.06366932598706478,0.000993878612160625,2.657596020722409e-06,0.004151799799382091,0.0010026411083417315,0.0346459731078473,0.0004062381385676175,4.068281404535087e-07,0.0011218276090163887,0.0003770148425821262,0,8,0,5,task05_state17
64,1,0,False,35,0,0.07843268141960126,0.0018908269283891043,2.2627439988060976e-06,0.00450657362434097,0.0020131846891711597,0.04212471364360733,0.0006161975003416062,5.82514383774105e-07,0.001310314807128515,0.0005974447514471791,0,5,0,5,task05_state35
64,2,0,False,35,0,0.05202714184844922,0.0013015912358593411,1.1125337441824132e-06,0.0032837118700808276,0.0013008075376725447,0.032436253261655834,0.00043364834060824893,2.549877326363264e-07,0.0010074963767949603,0.0004268985652184543,0,6,0,5,task05_state35
64,3,0,False,35,0,0.07556262183646256,0.0014801346714233903,2.143971158311396e-06,0.004327921776686568,0.0013614969077748863,0.04587251454424064,0.0004980596582396845,3.3798904334038103e-07,0.0012402990973789572,0.0004905698269770729,0,9,0,5,task05_state35
64,1,0,False,17,0,0.042174329348893265,0.0010767462344610007,1.4236161023778353e-06,0.0029162513525293424,0.0010688279173882004,0.028453406809835054,0.00044183057309868574,2.589099500584375e-07,0.0010476345106156283,0.00042640485987140283,0,4,0,6,task06_state17
64,2,0,False,17,0,0.0470216033183553,0.0012634971540097294,6.309247942565253e-07,0.0021716500948585665,0.0011932840744471823,0.026251771667602588,0.0005337355765138458,1.4571561298544628e-07,0.0008133608206978368,0.0004259272347525161,0,12,0,6,task06_state17
64,3,0,False,17,0,0.04331032678077709,0.0010603530742732126,1.1520449911422018e-06,0.0027182175094185544,0.0010027622715022373,0.028954235631729053,0.00038820804822443835,2.771689127183731e-07,0.0010408304114783848,0.0003606327340439738,0,5,0,6,task06_state17
64,1,0,False,35,0,0.043532920852619963,0.0012587789174013536,1.5617372952783743e-06,0.00335450765997237,0.00115882558673309,0.027514873745449454,0.0004230389375541393,3.4558841070989727e-07,0.0012966829777552175,0.000396549080406012,0,5,0,6,task06_state35
64,2,0,False,35,0,0.04633184322293535,0.001396366693844772,1.4189448815166977e-06,0.0033006479484558337,0.0012820275075391553,0.029000790984664862,0.0004223722740203571,2.9390162222919453e-07,0.0010715865036342084,0.0003906709703060704,0,6,0,6,task06_state35
64,3,0,False,35,0,0.06543564192717219,0.0016535575075084582,1.7988992210290105e-06,0.0033915720542736015,0.0016256504101098419,0.034815894398719766,0.0005180790793544484,3.9596604895764923e-07,0.0010912864370396834,0.0005137780632644171,0,13,0,6,task06_state35
